BusinessDate,Strike,OptionType,ExpiryDate,InsertionSequence,GlobalSequence,RecordDateTime,LowerCircuitLimit,UpperCircuitLimit
2025-10-09,47000.00,PE,2025-12-30 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,.05,35.25
2025-10-09,47000.00,PE,2025-11-25 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,.05,37.40
2025-10-09,47000.00,PE,2025-11-25 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,.05,37.40
2025-10-09,47000.00,PE,2025-12-30 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,.05,35.25
2025-10-09,47000.00,PE,2025-10-28 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,.05,29.55
2025-10-09,47000.00,PE,2025-10-28 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,29.55
2025-10-09,47000.00,PE,2025-12-30 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,35.25
2025-10-09,47000.00,PE,2025-11-25 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,.05,37.40
2025-10-09,47500.00,CE,2025-11-25 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,7539.30,10592.60
2025-10-09,47500.00,CE,2025-12-30 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,7847.25,10869.95
2025-10-09,47500.00,CE,2025-10-28 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,7308.55,10368.35
2025-10-09,47500.00,CE,2025-10-28 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,7308.55,10368.35
2025-10-09,47500.00,CE,2025-12-30 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,7847.25,10869.95
2025-10-09,47500.00,CE,2025-11-25 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,7539.30,10592.60
2025-10-09,47500.00,CE,2025-11-25 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,7539.30,10592.60
2025-10-09,47500.00,CE,2025-12-30 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,7847.25,10869.95
2025-10-09,47500.00,CE,2025-10-28 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,7308.55,10368.35
2025-10-09,47500.00,CE,2025-10-28 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,7308.55,10368.35
2025-10-09,47500.00,CE,2025-12-30 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,7847.25,10869.95
2025-10-09,47500.00,CE,2025-11-25 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,7539.30,10592.60
2025-10-09,47500.00,CE,2025-11-25 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,7539.30,10592.60
2025-10-09,47500.00,CE,2025-12-30 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,7847.25,10869.95
2025-10-09,47500.00,CE,2025-10-28 00:00:00.0000000,5,0,2025-10-10 09:00:44.0283264,7308.55,10368.35
2025-10-09,47500.00,CE,2025-10-28 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,7308.55,10368.35
2025-10-09,47500.00,CE,2025-12-30 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,7847.25,10869.95
2025-10-09,47500.00,CE,2025-11-25 00:00:00.0000000,6,0,2025-10-10 09:06:39.7987097,7539.30,10592.60
2025-10-09,47500.00,CE,2025-11-25 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,7539.30,10592.60
2025-10-09,47500.00,CE,2025-12-30 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,7847.25,10869.95
2025-10-09,47500.00,CE,2025-10-28 00:00:00.0000000,7,0,2025-10-10 09:12:47.6170480,7308.55,10368.35
2025-10-09,47500.00,PE,2025-10-28 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,.05,29.60
2025-10-09,47500.00,PE,2025-12-30 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,.05,40.05
2025-10-09,47500.00,PE,2025-11-25 00:00:00.0000000,1,0,2025-10-10 08:38:26.0351625,.05,22.25
2025-10-09,47500.00,PE,2025-11-25 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,.05,22.25
2025-10-09,47500.00,PE,2025-12-30 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,.05,40.05
2025-10-09,47500.00,PE,2025-10-28 00:00:00.0000000,2,0,2025-10-10 08:44:33.5513994,.05,29.60
2025-10-09,47500.00,PE,2025-10-28 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,.05,29.60
2025-10-09,47500.00,PE,2025-12-30 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,.05,40.05
2025-10-09,47500.00,PE,2025-11-25 00:00:00.0000000,3,0,2025-10-10 08:49:54.0896798,.05,22.25
2025-10-09,47500.00,PE,2025-11-25 00:00:00.0000000,4,0,2025-10-10 08:55:19.3957093,.05,22.25
